"","datasongsmetadata.artist_name","datasongsmetadata$song_id","datasongsmetadata$title"
"1","Mastodon","SOVLGJY12A8C13FBED","Deep Sea Creature"
"2","Los Chichos","SOGDQZK12A8C13F37C","No Quieras Marcharte"
"3","Foxy Brown","SODMVJR12A6D4F985D","If I..."
"4","Ramón Vargas;Vladimir Jurowski","SOIWBDR12A8C13A4AC","Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?"
"5","Enthroned","SOHCCIA12AC907577F","Ad Te Clamamus Exsvles Mortva Liberi"
"6","Bone Thugs-N-Harmony","SOBOAQC12A8C13E3E9","Murder One"
"7","Utopia","SOKVLHX12AB0187B39","On My Feet Again"
"8","Muse","SOMMSMW12A8C13FCCC","Bedroom Acoustics"
"9","João Gilberto","SODPNJR12A6D4FA52D","Segredo"
"10","Niraj Chag","SOFFLLP12AB018ED52","Sajana (Ft Faheem Mazhar)"
"11","Portable","SOZSPTD12A8C143BFD","Theresa"
"12","Daniel Johnston","SOHWWOM12AB0186627","Story Of An Artist (Don't Be Scared)"
"13","Christian McBride","SOZVLXO12AF72ABCDB","D Shuffle Jam (Part 2)"
"14","String Trio Of New York","SOVBVJW12AAF3B5F77","Ju Ju"
"15","Jim Kweskin","SOINHKC12AB01836E0","When I Was A Cowboy (Western Plains) (LP Version)"
"16","Ultraviolence","SODKUVJ12AB0187A4A","I Destructor (Lenny Dee Mix)"
"17","Speedball","SOMJNMD12AB0187F93","No Survivors"
"18","Autumnblaze","SOZNBMX12AB0182AD1","Her Golden Robe In Silence Veiled"
"19","Kris Kristofferson","SOIRIWN12AB0183AE7","Same Old Song"
"20","Cinder","SOESNFW12A6D4F995F","The Ride (Album)"
"21","Sister Rosetta Tharpe","SOGNFKZ12A8C145224","Two Little Fishes_ Five Loaves Of Bread"
"22","George Lopez","SOSJVGP12AB0185B95","Church Hangover"
"23","Johnny Cash","SOHHGUG12A6D4F4E77","I Got Stripes (Live)"
"24","Hatesex","SOBIPBF12AB0184B0C","The Greed Of Our Stare"
"25","Rui Da Silva","SONUTGA12AB0187F44","The Contracting Perception Of Consciousness"
"26","Tim Exile","SOIGIUZ12A8C1337B1","Post-Toxic Finger Disorder"
"27","Marcel Mouloudji","SORRQLD12A8C139E8D","Qui Donc A Changé ?"
"28","Alex Theory","SOHHKOU12A81C224B2","Lotus Kiss"
"29","Michael Card","SOWUAYB12A6D4FA1D4","So Many Books ... (The Word Album Version)"
"30","Megadrums","SOYTQGO12A8C138C1B","Drummer's Circle"
"31","Walter Jackson","SOOOBCE12A8C134019","What Would You Do"
"32","Bizzy Bone Presents","SOROLCY12AB0182652","Intro"
"33","Jerry Reed","SOWBEBK12AB018306A","When You're Hot_ You're Hot"
"34","Justin","SOLIAYU12A6D4F9923","Kong"
"35","New Roanoke Jug Band","SOOBRTK12A8C13D6A9","When Those Two Towers Fell"
"36","Floor","SONROBV12AB0188BC7","Ignis"
"37","Charles Williams","SOLWBGS12AB0187EAD","Close Up"
"38","The Animals_ Sonny Boy Williamson","SOOCWAO12AB01852C1","Bo Diddley"
"39","Fever Ray","SOJDJRK12AB018565D","I'm Not Done"
"40","Orquesta Broadway","SOYNXWG12AC468F51A","La Sitiera"
"41","T-Bone Walker","SOQYKBE12AC46867EE","Teenage Baby (Digitally Remastered)"
"42","David Martin","SOHWKQE12A8C142406","It Must Be"
"43","Dilated Peoples","SOUYTJK12A6701CD3D","Big Business"
"44","Warren Barfield","SOYVONC12AB0187167","Shadow"
"45","MN","SOQYLQN12AB01801B8","The Truth"
"46","Bob Wills","SOCXXWR12AC468929B","Sittin' On Top of the Wolrd"
"47","Checkers","SOHLKRL12A8C141B63","Oh Oh Oh Baby"
"48","Los Iracundos","SOAZTBX12AC4689A69","Adios...Borron Y Cuenta Nueva"
"49","John And The Bluesbreakers Mayall","SOFEAJC12A58A7F3AA","A Hard Road"
"50","Hevia","SORZPFY12A8C137448","San Xuan"
"51","Babbie Mason","SORRXOY12AB0183759","Isn't That Just Like God (Low Key Performance Track Without Background Vocals)"
"52","Benabar","SOADDVU12A8AE47512","Le Zoo De Vincennes"
