"","analysis_sample_rate","audio_md5","danceability","duration","end_of_fade_in","energy","idx_bars_confidence","idx_bars_start","idx_beats_confidence","idx_beats_start","idx_sections_confidence","idx_sections_start","idx_segments_confidence","idx_segments_loudness_max","idx_segments_loudness_max_time","idx_segments_loudness_start","idx_segments_pitches","idx_segments_start","idx_segments_timbre","idx_tatums_confidence","idx_tatums_start","key","key_confidence","loudness","mode","mode_confidence","start_of_fade_out","tempo","time_signature","time_signature_confidence","track_id"
"1",22050,"a600d65cf157a306be60f26ecbf218f4",0,280.21506,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.555,-3.306,1,0.5,275.528,173.205,5,0.12,"TRACCVZ128F4291A8A"
"2",22050,"c64d75b0588e5ab552ee94548b50a4fa",0,191.68608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501,-10.764,1,0.71,184.128,150.955,4,0.6,"TRACCMH128F428E4CD"
"3",22050,"0cadd310865701bb93ced1cd78e8910a",0,222.92853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.329,-9.035,1,0.407,216.3,93.056,4,1,"TRACCSW128F148C7C3"
"4",22050,"14be4fc1170152c445b3be7b8d18dfec",0,278.38649,0.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.313,-23.095,1,0.387,278.386,127.113,1,0.446,"TRACCXJ128F428F0CF"
"5",22050,"1def5d8298e8cb29a188a5a7c0e9429a",0,89.15546,4.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-20.359,1,0,79.203,90.66,3,0.524,"TRACCVS12903D014F8"
"6",22050,"79ed013fa65b4fc3424dd1ef0ab76dd5",0,255.73832,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.556,-5.724,1,0.455,252.012,101.167,1,1,"TRACCKS128F42B77AE"
"7",22050,"6f8cc33a8ed925e2077a876de3a11977",0,239.59465,0.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.167,-10.653,1,0.372,231.805,173.841,3,0.302,"TRACCQM12903CACC1E"
"8",22050,"ee8450e2e32b8adc9623d95ba6633b2f",0,156.96934,0.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.772,-20.816,0,0.524,142.286,127.547,1,0.168,"TRACCUS128F92E1FEB"
"9",22050,"60d56ccbced3db74f86bddc21bb4c92f",0,197.19791,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.665,-29.75,1,0.582,187.582,127.782,4,0.226,"TRACCJA128F149A144"
"10",22050,"19a1d23af6018cdfb32e8e751932d662",0,262.5824,2.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.317,-5.644,1,0.357,257.155,90.013,5,0.386,"TRACCGB12903CD1B90"
"11",22050,"2cc129cebff23dcaf7a4a16c253a7178",0,362.60526,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.505,-18.152,0,0.429,335.105,116.005,4,1,"TRACCXJ128F92E984B"
"12",22050,"51d1a106db2f6fd40dc0e1ebb7cc380e",0,311.53587,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669,-12.743,1,0.737,306.022,106.742,4,0.431,"TRACCEJ128F93257ED"
"13",22050,"8323e7da9ec1814f032538dfbd9fb0b7",0,692.06159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,-9.479,1,0.481,680.896,121.201,4,0.912,"TRACCMO12903CA4168"
"14",22050,"e511d40949236f8e04d8bbc7f2141059",0,392.4371,7.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.594,-18.245,0,0.467,365.273,130.316,5,1,"TRACCVN128F92DAE3D"
"15",22050,"f7815154eb429a68e49690afad5f5240",0,208.90077,0.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.561,-15.279,1,0.533,186.625,160.981,4,0.149,"TRACCOK128F932AF52"
"16",22050,"f4523725da4eb48a7b11a2db5982025c",0,367.41179,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.343,-9.249,1,0.301,357.518,174.57,4,0.315,"TRACCLY12903CDD7C4"
"17",22050,"94b58f7b5b13679f196c9a2dced7f928",0,212.21832,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.285,-9.191,0,0.256,203.685,159.702,1,0,"TRACJJZ12903CCBCDA"
"18",22050,"92c8a70a68a6897c99ba2f8f85debd16",0,286.24934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.509,-9.033,0,0.457,279.319,119.428,4,0.695,"TRACJPW128F932CA4C"
"19",22050,"f9f7c58b5318c5a60e1a66a1d0ecb3df",0,194.37669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.582,-11.663,1,0.679,186.746,74.809,4,0,"TRACJWY12903CB7DBF"
"20",22050,"f05e0f88fd293d36127e4842edf443f3",0,218.61832,1.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.518,-5.025,1,0.716,211.94,157.909,4,0.686,"TRACJHJ128F1489FAB"
"21",22050,"adea663d8e5c02b8e0a49790148b80dc",0,156.42077,0.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.132,-11.459,0,0.21,150.291,89.995,5,1,"TRACJVF128F92D2DB3"
"22",22050,"7289ba3d29debf2930ecf7cf7d6badb3",0,270.68036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.022,-16.724,0,0.073,268.347,101.455,1,0,"TRACJDX12903CD4917"
"23",22050,"1db4d0f87ddbf33be31267e2262956fe",0,112.95302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.086,-7.087,1,0.302,105.03,118.041,4,0.945,"TRACJKR12903D02C75"
"24",22050,"6b456eefe4147c67e6542d305385bf64",0,307.87873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737,-8.506,1,0.625,287.405,180.129,3,1,"TRACJVT12903CB0F49"
"25",22050,"d53cba232c3806795a55274bd4917246",0,448.62649,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.399,-12.161,1,0.261,438.433,123.007,4,0.045,"TRACJOQ12903CBBB64"
"26",22050,"130cf6cb8bec8e2a8fc980d01680a620",0,80.3522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644,-4.379,1,0.609,80.352,141.836,4,0.697,"TRACIJF128F424317B"
"27",22050,"9b4f9cf9abbcf8548b5696ab6af88b5d",0,110.34077,2.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,-14.711,0,0.403,104.13,77.5,5,0.432,"TRACIOB128F4296D0F"
"28",22050,"a954d86c88fb5bdc83807fcd7c109c30",0,317.88363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.728,-10.56,0,0.602,293.489,100.295,4,0.678,"TRACIKJ128F4226ABA"
"29",22050,"da578cf7e45fd459604b79c618121cc4",0,163.082,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.298,-7.005,1,0.417,154.035,122.403,4,1,"TRACICJ128F14ADFB8"
"30",22050,"b43dac6a87f54f42d70b15c5b8c60102",0,237.24363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.001,-15.777,1,0.177,224.253,118.713,4,0,"TRACIIS128F425DF68"
"31",22050,"8b036a41e9be71ed8b8c95df623ea78b",0,156.682,0.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.714,-12.839,1,0.7,151.679,78.453,3,0.858,"TRACIEF128F4270573"
"32",22050,"376be266bac8adf1ad3fb0f62152b0f7",0,50.9122,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.222,-7.837,0,0.275,46.527,81.901,4,0,"TRACILD128F930AF53"
"33",22050,"f42d0191b0f909bd24e014363a7ff20b",0,138.4224,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.609,-4.994,0,0.357,132.737,201.951,4,0.286,"TRACISV12903D13877"
"34",22050,"66d6eac6773f89bc4aae2cb92b73c5b8",0,275.85261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.716,-12.586,1,0.714,273.775,81.38,4,0.677,"TRACIIZ128EF34E497"
"35",22050,"7d8cfe416c5ab8795acb24ebdb820e72",0,178.20689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,-13.873,1,0.581,166.835,96.212,1,0,"TRACHAL128F427DD25"
"36",22050,"3954fd0a351eafe0fdbb44dcc31b3923",0,144.92689,2.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.597,-9.105,1,0.363,141.52,144.803,4,0,"TRACHZE12903CD95D2"
