"","analyzer_version","artist_7digitalid","artist_familiarity","artist_hotttnesss","artist_id","artist_latitude","artist_location","artist_longitude","artist_mbid","artist_name","artist_playmeid","genre","idx_artist_terms","idx_similar_artists","release","release_7digitalid","song_hotttnesss","song_id","title","track_7digitalid"
"1","",29785,0.780461748777041,0.574274730516856,"ARMQHX71187B9890D3",NA,"Atlanta, GA",NA,"bc5e2ad6-0a4a-4d90-b911-e9a7e6861727","Mastodon",-1,"",0,0,"Call of the Mastodon",223563,0.597640797714777,"SOVLGJY12A8C13FBED","Deep Sea Creature",2442524
"2","",167867,0.561589945856606,0.420570307208374,"AR2PT4M1187FB55B1A",NA,"",NA,"d54ea4a6-0b9c-4e47-bed0-289ae9ff4037","Los Chichos",1880,"",0,0,"Adelante",221677,NA,"SOGDQZK12A8C13F37C","No Quieras Marcharte",2423472
"3","",7725,0.687687485872155,0.406686099466661,"ARDI88R1187B98DAB2",NA,"",NA,"fd87374e-ffde-4d36-89a8-8a073f795666","Foxy Brown",-1,"",0,0,"Ill Na Na",47304,0.588922167555907,"SODMVJR12A6D4F985D","If I...",507029
"4","",2799,0.391741394148104,0.2912648117531,"ARUKJUP12086C14589",NA,"",NA,"8a5f2736-bcde-4a2e-8d50-72631d66a7ef","Ramón Vargas;Vladimir Jurowski",20111,"",0,0,"Massenet: Werther",295123,NA,"SOIWBDR12A8C13A4AC","Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?",3343102
"5","",74269,0.593416048779783,0.395709547707622,"ARZEWUR1187FB53DC8",50.45663,"Belgica -- Namur, Namur/Ghent, East Flanders",4.87137,"0be59867-0da4-4e45-9b64-728cdf25487c","Enthroned",55656,"",0,0,"Pentagrammaton",785362,NA,"SOHCCIA12AC907577F","Ad Te Clamamus Exsvles Mortva Liberi",8688607
"6","",49956,0.815923420343686,0.555138321922641,"ARUZRFN1187B98AC05",NA,"Cleveland, OH",NA,"2fa45bbb-0efb-4950-9d40-94bf23cbfec1","Bone Thugs-N-Harmony",5412,"",0,0,"BTNHRESURRECTION",310248,0.474054830931201,"SOBOAQC12A8C13E3E9","Murder One",3510188
"7","",25694,0.543936551884526,0.430300279107941,"ARHBWOZ1187FB3FD53",NA,"ITALY",NA,"e6ff2839-5ccb-451b-b07e-f485bc143118","Utopia",6721,"",0,0,"Utopia",576541,NA,"SOKVLHX12AB0187B39","On My Feet Again",6389516
"8","",588,0.92903028744116,0.750426551018918,"ARR3ONV1187B9A2F59",54.31407,"UK",-2.23001,"fd857293-5ab8-40de-b29e-55a69d4e4d0f","Muse",-1,"",0,0,"Plug In Baby",521383,0.652835695389138,"SOMMSMW12A8C13FCCC","Bedroom Acoustics",5764770
"9","",11301,0.645192338746766,0.471224329919008,"AR3THYK1187B999F1F",NA,"",NA,"286ec4c2-b5ca-4f85-b331-280a6d73dd14","João Gilberto",-1,"",0,0,"Joao Voz E Violato",55934,0.63160081808881,"SODPNJR12A6D4FA52D","Segredo",581259
"10","",19967,0.495819328959285,0.342765219130016,"ARFELOH1187B991F95",NA,"",NA,"65b785d9-499f-48e6-9063-3a1fd1bd488d","Niraj Chag",-1,"",0,0,"The Lost Souls Bonus EP",722229,NA,"SOFFLLP12AB018ED52","Sajana (Ft Faheem Mazhar)",8005714
"11","",158022,0.532850502340714,0.30293047062451,"ARO0EUG1187B9AC250",NA,"",NA,"668e5c58-903a-4aee-ba0d-9166a3bba4cc","Portable",154330,"",0,0,"Distance",478222,0,"SOZSPTD12A8C143BFD","Theresa",5308233
"12","",4387,0.713322146546721,0.473613189375399,"AR6CLFP1187B9ACB94",NA,"Sacramento, CA",NA,"8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76","Daniel Johnston",-1,"",0,0,"Welcome to my World",546441,0.687470640909002,"SOHWWOM12AB0186627","Story Of An Artist (Don't Be Scared)",6043996
"13","",5354,0.587332267374982,0.421386112600407,"AR6WICD1187B998708",39.95227,"Philadelphia, PA",-75.16237,"6035000d-b53b-4b01-b5a0-a7572c34e806","Christian McBride",48629,"",0,0,"Live At Tonic",661309,NA,"SOZVLXO12AF72ABCDB","D Shuffle Jam (Part 2)",7328964
"14","",252201,0.274613283356323,0,"ARMFOCL119B8668919",NA,"",NA,"ede0d8a0-0b0a-4ded-ae3c-affba301dae8","String Trio Of New York",-1,"",0,0,"Intermobility",324015,0,"SOVBVJW12AAF3B5F77","Ju Ju",3648647
"15","",43762,0.34173223003614,0.296823950795106,"AR3GYKU1187B996AB9",41.05182,"Stamford, CT",-73.54223,"61a75fe6-c102-49bf-96b0-40a1b85c8e7c","Jim Kweskin",-1,"",0,0,"Garden Of Joy",460926,NA,"SOINHKC12AB01836E0","When I Was A Cowboy (Western Plains) (LP Version)",5132257
"16","",370267,0.499939220988685,0.37444943049682,"ARDOOH01187B991055",NA,"",NA,"344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d","Ultraviolence",160798,"",0,0,"Blown Away",681735,0.215080318509228,"SODKUVJ12AB0187A4A","I Destructor (Lenny Dee Mix)",7565989
"17","",263179,0.486679143165503,0.362501433920972,"ARVUAJC1187B9908A5",NA,"Speedball",NA,"dcaedaf8-b460-4966-8a05-1a080a6734fb","Speedball",-1,"",0,0,"Maximum Speed",675629,0.255103035539124,"SOMJNMD12AB0187F93","No Survivors",7493527
"18","",403537,0.493891152979284,0.355495956579688,"ARM63WJ1187B9951EA",NA,"",NA,"a58d6509-7716-4b2f-a145-c642144bbd76","Autumnblaze",-1,"",0,0,"DämmerElbenTragödie",549533,0.407901717218074,"SOZNBMX12AB0182AD1","Her Golden Robe In Silence Veiled",6073670
"19","",31395,0.732393863069603,0.496224348643968,"ARBQPXY1187B98D67B",25.89958,"Brownsville, TX",-97.49553,"cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81","Kris Kristofferson",3139,"",0,0,"Original Album Classics",668413,0.360370582712141,"SOIRIWN12AB0183AE7","Same Old Song",7410905
"20","",11062,0.55319423352061,0.359807225002771,"ARPVFV91187B98BB94",NA,"",NA,"95927574-d2b9-4756-b7d6-09b3c248c311","Cinder",42106,"",0,0,"House Full Of No Trust",46067,0.212045405483719,"SOESNFW12A6D4F995F","The Ride (Album)",492038
"21","",9253,0.553104832920521,0.360350447853993,"AR6TD9K1187B9A207D",35.00459,"Cotton Plant, AR",-91.25019,"f5625c87-5a62-4b3b-a375-fe08a71acddc","Sister Rosetta Tharpe",21155,"",0,0,"Complete / Intégrale Vol. 5 (1953-1957)",376512,NA,"SOGNFKZ12A8C145224","Two Little Fishes_ Five Loaves Of Bread",4188442
"22","",103932,0.668020248723305,0.516963730738341,"ARYF20K1187B9B76BD",NA,"ORANGE, California",NA,"4a41c200-153b-4158-87b3-db0fea627e2c","George Lopez",-1,"",0,0,"El Mas Chingon",591025,NA,"SOSJVGP12AB0185B95","Church Hangover",6555113
"23","",1448,0.817256292502378,0.735208877746994,"ARH861H1187B9B799E",NA,"Kingsland, AR",NA,"d43d12a1-2dc9-4257-a2fd-0a3bb1081b86","Johnny Cash",4281,"",0,0,"The Legend",785786,0.326478237502791,"SOHHGUG12A6D4F4E77","I Got Stripes (Live)",8694623
"24","",527702,0.461286162288602,0,"ARHWRBR119B8669309",NA,"",NA,"6d2e94ff-76f7-45f7-a7ce-9fe724952b8b","Hatesex",-1,"",0,0,"Unwant",709759,NA,"SOBIPBF12AB0184B0C","The Greed Of Our Stare",7870634
"25","",230367,0.62518679746829,0.388800312915103,"ARE17W51187FB5381B",51.50632,"London",-0.12714,"3ab20833-bea6-4972-9e83-14599e3666a1","Rui Da Silva",-1,"",0,0,"Praying Mantis",713491,NA,"SONUTGA12AB0187F44","The Contracting Perception Of Consciousness",7915175
"26","",190803,0.620501924916458,0.301847094811136,"AR8U8G41187B9A833B",NA,"",NA,"110500b0-78a7-41cb-8535-9f37ab35a902","Tim Exile",-1,"",0,0,"Tim Exile's Nuisance Gabbaret Lounge",246546,0.428702262523259,"SOIGIUZ12A8C1337B1","Post-Toxic Finger Disorder",2676905
"27","",3254,0.325219143048459,0.270099982469402,"ARQVTCN11E2835DFFD",NA,"",NA,"f4847b22-6278-4963-aae6-43f6958ec261","Marcel Mouloudji",27517,"",0,0,"36 Grands Succès",299377,NA,"SORRQLD12A8C139E8D","Qui Donc A Changé ?",3374877
"28","",177304,0.448124002912,0.315522959031969,"AR8W2DS1187B9B6E36",NA,"",NA,"c11db213-a40e-43c1-b2b7-cc2f0f08cb5b","Alex Theory",-1,"",0,0,"Gathering The Tribe",232875,0.534629582208341,"SOHHKOU12A81C224B2","Lotus Kiss",2554509
