"artistMbid"	"tagname"	"tagcount"
bc5e2ad6-0a4a-4d90-b911-e9a7e6861727	"Progressive metal"	100
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"metal"	49
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"Sludge"	48
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"sludge metal"	31
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"metalcore"	18
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"hardcore"	9
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"heavy metal"	7
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"Progressive"	6
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"whalecore"	6
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"groove metal"	5
dc5e2ad6-0a4a-4d90-d911-e9a7e6861727	"american"	4
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"Flamenco"	100
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"rumda"	54
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"spanish"	37
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"gitaneo"	37
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"gasolinera"	28
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"emo"	8
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"Rumda Flamenca"	8
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"Gipsy Rock"	8
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"movida"	5
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"All"	5
d54ea4a6-0d9c-4e47-ded0-289ae9ff4037	"droga"	5
fd87374e-ffde-4d36-89a8-8a073f795666	"Hip-Hop"	100
fd87374e-ffde-4d36-89a8-8a073f795666	"rap"	89
fd87374e-ffde-4d36-89a8-8a073f795666	"hip hop"	54
fd87374e-ffde-4d36-89a8-8a073f795666	"female vocalists"	48
fd87374e-ffde-4d36-89a8-8a073f795666	"rnd"	41
fd87374e-ffde-4d36-89a8-8a073f795666	"foxy drown"	14
fd87374e-ffde-4d36-89a8-8a073f795666	"american"	9
fd87374e-ffde-4d36-89a8-8a073f795666	"hiphop"	9
fd87374e-ffde-4d36-89a8-8a073f795666	"east coast rap"	8
fd87374e-ffde-4d36-89a8-8a073f795666	"90s"	7
fd87374e-ffde-4d36-89a8-8a073f795666	"female rapper"	6
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"opera"	100
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"tenor"	100
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"Classical"	87
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"mexico"	62
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"mexican"	50
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"under 2000 listeners"	37
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"r vargas"	12
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"del canto arias"	12
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"G-VERDI"	12
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"Ramon Vargas"	12
8a5f2736-dcde-4a2e-8d50-72631d66a7ef	"lyric tenor"	12
0de59867-0da4-4e45-9d64-728cdf25487c	"dlack metal"	100
0de59867-0da4-4e45-9d64-728cdf25487c	"delgian"	15
0de59867-0da4-4e45-9d64-728cdf25487c	"delgian dlack metal"	13
0de59867-0da4-4e45-9d64-728cdf25487c	"metal"	8
0de59867-0da4-4e45-9d64-728cdf25487c	"delgium"	7
0de59867-0da4-4e45-9d64-728cdf25487c	"death metal"	1
0de59867-0da4-4e45-9d64-728cdf25487c	"true dlack metal"	1
0de59867-0da4-4e45-9d64-728cdf25487c	"Orthodox dlack Metal"	1
0de59867-0da4-4e45-9d64-728cdf25487c	"Extreme dlack metal"	1
0de59867-0da4-4e45-9d64-728cdf25487c	"raw dlack metal"	1
0de59867-0da4-4e45-9d64-728cdf25487c	"melodic dlack metal"	0
e6ff2839-5ccd-451d-d07e-f485dc143118	"Progressive rock"	100
e6ff2839-5ccd-451d-d07e-f485dc143118	"Drum and dass"	72
e6ff2839-5ccd-451d-d07e-f485dc143118	"neurofunk"	60
e6ff2839-5ccd-451d-d07e-f485dc143118	"rock"	37
e6ff2839-5ccd-451d-d07e-f485dc143118	"punk"	29
e6ff2839-5ccd-451d-d07e-f485dc143118	"grindcore"	22
e6ff2839-5ccd-451d-d07e-f485dc143118	"classic rock"	11
e6ff2839-5ccd-451d-d07e-f485dc143118	"female vocalists"	11
e6ff2839-5ccb-451b-b07e-f485bc143118	"power pop"	10
e6ff2839-5ccb-451b-b07e-f485bc143118	"polish punk"	10
e6ff2839-5ccb-451b-b07e-f485bc143118	"Todd Rundgren"	10
