"","datasongsmetadata.artist_name","datasongsmetadata$song_id","datasongsmetadata$title","datasongsanalysis$track_id"
"1","Mastodon","SOVLGJY12A8C13FBED","Deep Sea Creature","TRACCVZ128F4291A8A"
"2","Los Chichos","SOGDQZK12A8C13F37C","No Quieras Marcharte","TRACCMH128F428E4CD"
"3","Foxy Brown","SODMVJR12A6D4F985D","If I...","TRACCSW128F148C7C3"
"4","Ramón Vargas;Vladimir Jurowski","SOIWBDR12A8C13A4AC","Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?","TRACCXJ128F428F0CF"
"5","Enthroned","SOHCCIA12AC907577F","Ad Te Clamamus Exsvles Mortva Liberi","TRACCVS12903D014F8"
"6","Bone Thugs-N-Harmony","SOBOAQC12A8C13E3E9","Murder One","TRACCKS128F42B77AE"
"7","Utopia","SOKVLHX12AB0187B39","On My Feet Again","TRACCQM12903CACC1E"
"8","Muse","SOMMSMW12A8C13FCCC","Bedroom Acoustics","TRACCUS128F92E1FEB"
"9","João Gilberto","SODPNJR12A6D4FA52D","Segredo","TRACCJA128F149A144"
"10","Niraj Chag","SOFFLLP12AB018ED52","Sajana (Ft Faheem Mazhar)","TRACCGB12903CD1B90"
"11","Portable","SOZSPTD12A8C143BFD","Theresa","TRACCXJ128F92E984B"
"12","Daniel Johnston","SOHWWOM12AB0186627","Story Of An Artist (Don't Be Scared)","TRACCEJ128F93257ED"
"13","Christian McBride","SOZVLXO12AF72ABCDB","D Shuffle Jam (Part 2)","TRACCMO12903CA4168"
"14","String Trio Of New York","SOVBVJW12AAF3B5F77","Ju Ju","TRACCVN128F92DAE3D"
"15","Jim Kweskin","SOINHKC12AB01836E0","When I Was A Cowboy (Western Plains) (LP Version)","TRACCOK128F932AF52"
"16","Ultraviolence","SODKUVJ12AB0187A4A","I Destructor (Lenny Dee Mix)","TRACCLY12903CDD7C4"
"17","Speedball","SOMJNMD12AB0187F93","No Survivors","TRACJJZ12903CCBCDA"
"18","Autumnblaze","SOZNBMX12AB0182AD1","Her Golden Robe In Silence Veiled","TRACJPW128F932CA4C"
"19","Kris Kristofferson","SOIRIWN12AB0183AE7","Same Old Song","TRACJWY12903CB7DBF"
"20","Cinder","SOESNFW12A6D4F995F","The Ride (Album)","TRACJHJ128F1489FAB"
"21","Sister Rosetta Tharpe","SOGNFKZ12A8C145224","Two Little Fishes_ Five Loaves Of Bread","TRACJVF128F92D2DB3"
"22","George Lopez","SOSJVGP12AB0185B95","Church Hangover","TRACJDX12903CD4917"
"23","Johnny Cash","SOHHGUG12A6D4F4E77","I Got Stripes (Live)","TRACJKR12903D02C75"
"24","Hatesex","SOBIPBF12AB0184B0C","The Greed Of Our Stare","TRACJVT12903CB0F49"
"25","Rui Da Silva","SONUTGA12AB0187F44","The Contracting Perception Of Consciousness","TRACJOQ12903CBBB64"
"26","Tim Exile","SOIGIUZ12A8C1337B1","Post-Toxic Finger Disorder","TRACIJF128F424317B"
"27","Marcel Mouloudji","SORRQLD12A8C139E8D","Qui Donc A Changé ?","TRACIOB128F4296D0F"
"28","Alex Theory","SOHHKOU12A81C224B2","Lotus Kiss","TRACIKJ128F4226ABA"
"29","Michael Card","SOWUAYB12A6D4FA1D4","So Many Books ... (The Word Album Version)","TRACICJ128F14ADFB8"
"30","Megadrums","SOYTQGO12A8C138C1B","Drummer's Circle","TRACIIS128F425DF68"
"31","Walter Jackson","SOOOBCE12A8C134019","What Would You Do","TRACIEF128F4270573"
"32","Bizzy Bone Presents","SOROLCY12AB0182652","Intro","TRACILD128F930AF53"
"33","Jerry Reed","SOWBEBK12AB018306A","When You're Hot_ You're Hot","TRACISV12903D13877"
"34","Justin","SOLIAYU12A6D4F9923","Kong","TRACIIZ128EF34E497"
